NSTEP 	 TIME(ps) 	 Etot
100.0 	 20.2 	 -4585.1049
200.0 	 20.4 	 -4573.5326
300.0 	 20.6 	 -4548.1223
400.0 	 20.8 	 -4525.341
500.0 	 21.0 	 -4542.8995
600.0 	 21.2 	 -4550.9376
700.0 	 21.4 	 -4543.8652
800.0 	 21.6 	 -4570.4109
900.0 	 21.8 	 -4550.4225
1000.0 	 22.0 	 -4585.2078
1100.0 	 22.2 	 -4577.3788
1200.0 	 22.4 	 -4583.5594
1300.0 	 22.6 	 -4605.5086
1400.0 	 22.8 	 -4615.42
1500.0 	 23.0 	 -4583.6069
1600.0 	 23.2 	 -4534.2492
1700.0 	 23.4 	 -4571.4911
1800.0 	 23.6 	 -4580.2937
1900.0 	 23.8 	 -4555.4327
2000.0 	 24.0 	 -4567.5687
2100.0 	 24.2 	 -4566.0038
2200.0 	 24.4 	 -4547.9737
2300.0 	 24.6 	 -4603.6717
2400.0 	 24.8 	 -4611.0889
2500.0 	 25.0 	 -4694.2189
2600.0 	 25.2 	 -4678.6558
2700.0 	 25.4 	 -4679.2889
2800.0 	 25.6 	 -4650.4214
2900.0 	 25.8 	 -4637.4849
3000.0 	 26.0 	 -4677.2461
3100.0 	 26.2 	 -4659.6974
3200.0 	 26.4 	 -4592.83
3300.0 	 26.6 	 -4622.1237
3400.0 	 26.8 	 -4626.0868
3500.0 	 27.0 	 -4614.5996
3600.0 	 27.2 	 -4625.5348
3700.0 	 27.4 	 -4569.7752
3800.0 	 27.6 	 -4625.0792
3900.0 	 27.8 	 -4653.4614
4000.0 	 28.0 	 -4637.6852
4100.0 	 28.2 	 -4643.8673
4200.0 	 28.4 	 -4619.5255
4300.0 	 28.6 	 -4663.3843
4400.0 	 28.8 	 -4631.8386
4500.0 	 29.0 	 -4680.3524
4600.0 	 29.2 	 -4722.1579
4700.0 	 29.4 	 -4696.5022
4800.0 	 29.6 	 -4729.6126
4900.0 	 29.8 	 -4703.1835
5000.0 	 30.0 	 -4707.8668
5100.0 	 30.2 	 -4660.0768
5200.0 	 30.4 	 -4673.0967
5300.0 	 30.6 	 -4656.3795
5400.0 	 30.8 	 -4627.921
5500.0 	 31.0 	 -4599.7806
5600.0 	 31.2 	 -4648.8831
5700.0 	 31.4 	 -4649.4773
5800.0 	 31.6 	 -4665.3345
5900.0 	 31.8 	 -4693.9727
6000.0 	 32.0 	 -4726.4832
6100.0 	 32.2 	 -4744.9909
6200.0 	 32.4 	 -4788.9469
6300.0 	 32.6 	 -4724.8673
6400.0 	 32.8 	 -4724.9143
6500.0 	 33.0 	 -4685.332
6600.0 	 33.2 	 -4721.0018
6700.0 	 33.4 	 -4755.1232
6800.0 	 33.6 	 -4810.7441
6900.0 	 33.8 	 -4796.7949
7000.0 	 34.0 	 -4737.2496
7100.0 	 34.2 	 -4735.1629
7200.0 	 34.4 	 -4733.8855
7300.0 	 34.6 	 -4781.2227
7400.0 	 34.8 	 -4789.1473
7500.0 	 35.0 	 -4813.7562
7600.0 	 35.2 	 -4817.4775
7700.0 	 35.4 	 -4822.1009
7800.0 	 35.6 	 -4788.4856
7900.0 	 35.8 	 -4816.5778
8000.0 	 36.0 	 -4843.6187
8100.0 	 36.2 	 -4867.3389
8200.0 	 36.4 	 -4829.6258
8300.0 	 36.6 	 -4839.4063
8400.0 	 36.8 	 -4856.7404
8500.0 	 37.0 	 -4827.9999
8600.0 	 37.2 	 -4789.496
8700.0 	 37.4 	 -4807.4737
8800.0 	 37.6 	 -4822.8427
8900.0 	 37.8 	 -4841.7963
9000.0 	 38.0 	 -4852.5445
9100.0 	 38.2 	 -4794.1774
9200.0 	 38.4 	 -4795.4408
9300.0 	 38.6 	 -4843.1092
9400.0 	 38.8 	 -4861.5219
9500.0 	 39.0 	 -4861.1394
9600.0 	 39.2 	 -4874.9262
9700.0 	 39.4 	 -4895.8931
9800.0 	 39.6 	 -4925.8895
9900.0 	 39.8 	 -4973.8736
10000.0 	 40.0 	 -4988.7908
10100.0 	 40.2 	 -4945.5981
10200.0 	 40.4 	 -4916.3219
10300.0 	 40.6 	 -4921.4063
10400.0 	 40.8 	 -4911.1395
10500.0 	 41.0 	 -4874.5853
10600.0 	 41.2 	 -4874.531
10700.0 	 41.4 	 -4881.881
10800.0 	 41.6 	 -4891.6363
10900.0 	 41.8 	 -4896.9142
11000.0 	 42.0 	 -4912.6121
11100.0 	 42.2 	 -4904.3068
11200.0 	 42.4 	 -4929.841
11300.0 	 42.6 	 -4953.1665
11400.0 	 42.8 	 -4984.0176
11500.0 	 43.0 	 -4980.7061
11600.0 	 43.2 	 -4938.8474
11700.0 	 43.4 	 -4963.1656
11800.0 	 43.6 	 -4955.5246
11900.0 	 43.8 	 -4906.5723
12000.0 	 44.0 	 -4930.7026
12100.0 	 44.2 	 -4928.7367
12200.0 	 44.4 	 -4857.161
12300.0 	 44.6 	 -4886.8174
12400.0 	 44.8 	 -4817.6888
12500.0 	 45.0 	 -4872.9481
12600.0 	 45.2 	 -4894.4047
12700.0 	 45.4 	 -4885.6957
12800.0 	 45.6 	 -4923.2417
12900.0 	 45.8 	 -4897.3522
13000.0 	 46.0 	 -4892.6689
13100.0 	 46.2 	 -4893.3622
13200.0 	 46.4 	 -4838.7241
13300.0 	 46.6 	 -4836.7701
13400.0 	 46.8 	 -4760.9359
13500.0 	 47.0 	 -4784.3831
13600.0 	 47.2 	 -4744.1472
13700.0 	 47.4 	 -4728.4061
13800.0 	 47.6 	 -4750.2233
13900.0 	 47.8 	 -4867.9914
14000.0 	 48.0 	 -4923.5577
14100.0 	 48.2 	 -4897.1107
14200.0 	 48.4 	 -4911.9463
14300.0 	 48.6 	 -4915.2124
14400.0 	 48.8 	 -4877.766
14500.0 	 49.0 	 -4853.0504
14600.0 	 49.2 	 -4857.4078
14700.0 	 49.4 	 -4825.9871
14800.0 	 49.6 	 -4812.0551
14900.0 	 49.8 	 -4846.6835
15000.0 	 50.0 	 -4846.4495
15100.0 	 50.2 	 -4878.3125
15200.0 	 50.4 	 -4932.9309
15300.0 	 50.6 	 -4942.1183
15400.0 	 50.8 	 -4939.392
15500.0 	 51.0 	 -4911.1468
15600.0 	 51.2 	 -4917.1998
15700.0 	 51.4 	 -4925.0586
15800.0 	 51.6 	 -4901.7294
15900.0 	 51.8 	 -4904.7184
16000.0 	 52.0 	 -4881.9266
16100.0 	 52.2 	 -4853.0225
16200.0 	 52.4 	 -4887.513
16300.0 	 52.6 	 -4842.1109
16400.0 	 52.8 	 -4846.9808
16500.0 	 53.0 	 -4862.7402
16600.0 	 53.2 	 -4851.7519
16700.0 	 53.4 	 -4909.4545
16800.0 	 53.6 	 -4914.8171
16900.0 	 53.8 	 -4915.2172
17000.0 	 54.0 	 -4930.1387
17100.0 	 54.2 	 -4953.7774
17200.0 	 54.4 	 -4901.9891
17300.0 	 54.6 	 -4905.851
17400.0 	 54.8 	 -4926.3257
17500.0 	 55.0 	 -4917.3863
17600.0 	 55.2 	 -4942.2224
17700.0 	 55.4 	 -4952.2746
17800.0 	 55.6 	 -4916.1854
17900.0 	 55.8 	 -4861.9952
18000.0 	 56.0 	 -4877.2959
18100.0 	 56.2 	 -4826.5819
18200.0 	 56.4 	 -4876.5468
18300.0 	 56.6 	 -4846.8424
18400.0 	 56.8 	 -4843.3569
18500.0 	 57.0 	 -4842.735
18600.0 	 57.2 	 -4834.5641
18700.0 	 57.4 	 -4793.4512
18800.0 	 57.6 	 -4854.0441
18900.0 	 57.8 	 -4874.9529
19000.0 	 58.0 	 -4835.5704
19100.0 	 58.2 	 -4855.0431
19200.0 	 58.4 	 -4865.4151
19300.0 	 58.6 	 -4846.5908
19400.0 	 58.8 	 -4807.5877
19500.0 	 59.0 	 -4811.5955
19600.0 	 59.2 	 -4835.6643
19700.0 	 59.4 	 -4846.6731
19800.0 	 59.6 	 -4851.4884
19900.0 	 59.8 	 -4886.9112
20000.0 	 60.0 	 -4858.1232
20100.0 	 60.2 	 -4869.245
20200.0 	 60.4 	 -4907.4877
20300.0 	 60.6 	 -4954.8636
20400.0 	 60.8 	 -4942.269
20500.0 	 61.0 	 -5004.3931
20600.0 	 61.2 	 -4980.6333
20700.0 	 61.4 	 -4959.0934
20800.0 	 61.6 	 -4942.9824
20900.0 	 61.8 	 -4882.6145
21000.0 	 62.0 	 -4857.1325
21100.0 	 62.2 	 -4916.5311
21200.0 	 62.4 	 -4894.3503
21300.0 	 62.6 	 -4912.1722
21400.0 	 62.8 	 -4912.5805
21500.0 	 63.0 	 -4939.9299
21600.0 	 63.2 	 -4923.4478
21700.0 	 63.4 	 -4885.8822
21800.0 	 63.6 	 -4879.1104
21900.0 	 63.8 	 -4871.2521
22000.0 	 64.0 	 -4846.9889
22100.0 	 64.2 	 -4870.2887
22200.0 	 64.4 	 -4814.2051
22300.0 	 64.6 	 -4782.7933
22400.0 	 64.8 	 -4827.9125
22500.0 	 65.0 	 -4849.4257
22600.0 	 65.2 	 -4896.8849
22700.0 	 65.4 	 -4898.43
22800.0 	 65.6 	 -4887.3311
22900.0 	 65.8 	 -4920.326
23000.0 	 66.0 	 -4929.5851
23100.0 	 66.2 	 -4961.059
23200.0 	 66.4 	 -4904.5845
23300.0 	 66.6 	 -4913.8577
23400.0 	 66.8 	 -4893.3502
23500.0 	 67.0 	 -4872.0999
23600.0 	 67.2 	 -4799.1635
23700.0 	 67.4 	 -4844.1789
23800.0 	 67.6 	 -4857.2238
23900.0 	 67.8 	 -4852.7959
24000.0 	 68.0 	 -4937.0545
24100.0 	 68.2 	 -4932.0827
24200.0 	 68.4 	 -4903.7197
24300.0 	 68.6 	 -4917.5152
24400.0 	 68.8 	 -4917.0623
24500.0 	 69.0 	 -4929.6231
24600.0 	 69.2 	 -4911.2961
24700.0 	 69.4 	 -4900.8126
24800.0 	 69.6 	 -4872.0052
24900.0 	 69.8 	 -4894.1473
25000.0 	 70.0 	 -4926.5634
25100.0 	 70.2 	 -4936.8213
25200.0 	 70.4 	 -4873.3118
25300.0 	 70.6 	 -4926.9161
25400.0 	 70.8 	 -4915.6954
25500.0 	 71.0 	 -4905.3008
25600.0 	 71.2 	 -4890.1921
25700.0 	 71.4 	 -4882.13
25800.0 	 71.6 	 -4916.5499
25900.0 	 71.8 	 -4886.9469
26000.0 	 72.0 	 -4850.5461
26100.0 	 72.2 	 -4859.8111
26200.0 	 72.4 	 -4846.797
26300.0 	 72.6 	 -4842.1241
26400.0 	 72.8 	 -4858.2108
26500.0 	 73.0 	 -4826.8505
26600.0 	 73.2 	 -4795.8374
26700.0 	 73.4 	 -4811.9221
26800.0 	 73.6 	 -4888.6634
26900.0 	 73.8 	 -4909.67
27000.0 	 74.0 	 -4933.4484
27100.0 	 74.2 	 -4977.5063
27200.0 	 74.4 	 -4992.3263
27300.0 	 74.6 	 -4977.7844
27400.0 	 74.8 	 -4966.7665
27500.0 	 75.0 	 -4972.1345
27600.0 	 75.2 	 -4947.9832
27700.0 	 75.4 	 -4974.7886
27800.0 	 75.6 	 -4973.922
27900.0 	 75.8 	 -4942.2304
28000.0 	 76.0 	 -4943.481
28100.0 	 76.2 	 -4932.4172
28200.0 	 76.4 	 -4962.9499
28300.0 	 76.6 	 -4951.652
28400.0 	 76.8 	 -4942.7002
28500.0 	 77.0 	 -4982.3862
28600.0 	 77.2 	 -4983.9897
28700.0 	 77.4 	 -4983.2188
28800.0 	 77.6 	 -4997.9833
28900.0 	 77.8 	 -5056.4832
29000.0 	 78.0 	 -5022.3178
29100.0 	 78.2 	 -4990.2883
29200.0 	 78.4 	 -4955.9855
29300.0 	 78.6 	 -4922.5797
29400.0 	 78.8 	 -4918.2425
29500.0 	 79.0 	 -4901.2145
29600.0 	 79.2 	 -4864.5383
29700.0 	 79.4 	 -4869.5219
